[2026-03-18 21:03:19]  Downloads: found 1 archive(s) in 1 location(s)
[2026-03-18 21:03:20]  Display: 2560x1440, HiDPI detected=1.35, scale=1.0
[2026-03-18 21:03:20]  Mod Manager ready. 1/36 games configured.
[2026-03-18 21:03:20]  Linux mode active. Using CustomTkinter UI framework.
[2026-03-18 21:03:20]  Nexus Mods API key loaded.
[2026-03-18 21:03:20]  NXM protocol handler registered.
[2026-03-18 21:03:20]  NXM IPC server listening on /run/user/1000/amethyst-mod-manager.sock
[2026-03-18 21:03:20]  Nexus: logged in as DubiousPhoenix (premium=False)
[2026-03-18 21:03:21]  Filemap updated: 35977 file(s).
