[2026-03-16 09:57:27]  Downloads: found 1 archive(s) in 1 location(s)
[2026-03-16 09:57:28]  Display: 2560x1440, HiDPI detected=1.35, scale=1.0
[2026-03-16 09:57:28]  Mod Manager ready. 1/31 games configured.
[2026-03-16 09:57:28]  Linux mode active. Using CustomTkinter UI framework.
[2026-03-16 09:57:28]  Nexus Mods API key loaded.
[2026-03-16 09:57:28]  NXM protocol handler registered.
[2026-03-16 09:57:28]  NXM IPC server listening on /run/user/1000/amethyst-mod-manager.sock
[2026-03-16 09:57:29]  Filemap updated: 34914 file(s).
[2026-03-16 09:57:29]  Nexus: logged in as DubiousPhoenix (premium=False)
